sternutator|something that causes sneezing
superette|a small supermarket
wabbit|exhausted or slightly unwell
zetetic|proceeding by inquiry or investigation
sluggardize|to make lazy
introreception|the act of admitting into or within
fandangle|a fancy or fantastic trinket or ornament
whanau|an extended family
peart|lively or active
naufragous|of or pertaining to a shipwreck
lycophobia|fear of wolves
debacchate|to rant as if drunk
diapnoic|slightly increasing perspiration
bawsunt|having white streaks or spots on a black background
abvolate|to fly away
iatrotechnique|the art of medicine or surgery
agelast|one who never laughs
flange|an external or internal rib or rim, used either to add strength or to hold something in place
nethermore|farther down or lower
needledom|the world of sewing
halyard|rope or tackle for hoisting and lowering sails
lautitious|sumptuous
pogonotomy|shaving
gardevisure|visor of a helmet
ethography|written description of manners or morals
sertule|scientific collection of plants
cancellarial|of, like or pertaining to a chancellor
rondure|gracefully rounded curvature
enteral|of, pertaining to or within the intestine
xenodocheionology|love of hotels
randem|with three horses in single file
syndeton|phrase whose parts are joined by a conjunction
butyric|of, like or pertaining to butter
guidon|pennant with rounded outer edge
piscicide|substance that kills fish
neonate|newly born child
dexiotropic|turning to the right
braccate|having feathered legs or feet
theomachy|war amongst or against the gods
trepan|obsolete instrument for cutting open the skull
skeletogenous|producing a skeleton
schottische|old polka-like round dance
cacotopia|a state in which everything is as bad as it can be
objectivism|doctrine that all reality is objective
triskaidekaphobia|fear of the number thirteen
hygrograph|instrument for recording variations in atmospheric humidity
nacarat|bright orange-red
hemacytometer|instrument for counting blood cells
waygone|exhausted from long travels
chine|the intersection of the middle and sides of a boat
repouss̩|raised in relief by hammering from behind or within
zymosimeter|instrument for measuring fermentation
vaniloquence|vain or foolish talk
xilinous|of, like or pertaining to cotton
vibraslap|modern percussion instrument with rod and ball
utricide|one who stabs an inflated skin vessel instead of killing someone
photopolarimeter|instrument for measuring intensity and polarization of reflected light
strahl|flow of beams of electrons from the sun to earth
steen|to line with stone
stonk|a heavy concentration of artillery fire
atmometer|instrument for measuring evaporating capacity of air
sawder|to flatter
viraginous|suggestive of a loud overbearing woman
omophagy|eating of raw flesh as a ritual observance
zori|Japanese thonged sandals
agistment|land tax assessed for cattle pasturing
motatory|continually moving
reliabilism|theory that justified belief is reached by reliable cognitive processes
decretal|of, like or pertaining to a decree
logice|in a logical manner
youthquake|the series of cultural upheavals of the 1960s
delirifacient|producing or creating delirium
zambomba|Spanish percussion instrument
necation|an act of killing
disgarnish|to despoil
osteomancy|divination using bones
sparagmos|ritualized tearing apart of a person prior to rebirth or renewal
prototrophic|feeding directly on uncombined elements
pulicine|of, like or pertaining to fleas
alphonsin|instrument used to extract bullets from bodies
coif|iron skull-cap
troika|carriage drawn by three horses
troilism|sexual activity between three people
yenta|gossip or busybody
toxiferous|producing or bearing poison
demesne|feudal manor-house with adjacent lands
academicism|doctrine that nothing can be known
whereinsoever|in whatsoever respect or place
calamus|quill or reed used as a pen
lithodomous|living in burrows in rocks
xenomenia|menstruation from abnormal orifices
agoraphobia|fear of open spaces
yoicks|expression of surprise or excitement
parasitaster|a mean or sorry parasite
quotannal|annual
poroscope|instrument for investigating porosity
lurdan|lazy and dull individual
cotta|short surplice worn over a cassock
hierurgy|sacred performance
definiens|word or words used in a dictionary definition
sacchariferous|bearing sugar
fairlead|ring through which rope is led to change its direction without friction
telegony|influence of previous mate on offspring of current one
avital|ancestral
harn|coarse linen
timbal|kettle drum
cyclostyle|device for making multiple copies of written text
plangorous|mournful
christophany|appearance of Christ to men
stat|immediately
ariolation|divination in general
frontal|armour for the front of a horse's head
usitative|signifying a usual act
apical|of or at the apex
taenioid|of a ribbon-like shape
hemiplegic|paralyzed on one side only
trochoid|curve traced by a fixed point in plane of a circle
vedro|Russian unit of liquid measure equal to 2.7 gallons
porphyrogeniture|accession of 1st son born after father's accession
poimenic|pastoral
natation|swimming
chronomancy|divination by means of time
flannel|ostentatious nonsense
voiturier|driver of a carriage or coach
purpresture|encroachment on public property
vacky|evacuee
cervelat|smoked pork sausage
geology|study of earth's crust
rangiferine|of, like or pertaining to or like reindeer
scanderoon|homing pigeon
silicicolous|growing in silicate or sandy soil
sebaceous|of or like tallow
oryzivorous|rice-eating
elance|to throw as a lance
peignoir|woman's dressing-gown
eurythmics|system of rhythmic and harmonious movement
nickeliferous|bearing nickel
salempore|broad white or blue cotton fabric
wanhope|despair
pietism|unquestioning or dogmatic religious devotion
poral|of, like or pertaining to pores
rostrum|spike on prow of warship for ramming
velour|piled velvety cotton
aeromancy|divination by means of the weather
maillot|tights worn by a ballet dancer
obitual|of, like or pertaining to obituaries
aleuromancy|divination using flour or meal
trierarchy|obligation of fitting out ships
eau-de-nil|pale green colour
bracer|armour for the lower arm
hyponychial|underneath fingernail or toenail
epipolism|fluorescence
philosophocracy|government by philosophers
organity|an organized whole
wasserman|man-shaped sea monster
blucher|leather half-boot
diaeresis|two dots placed over a vowel to indicate a syllable break
melismatic|florid in melody
pseudandry|assumption of man's proper name by a woman
monotheism|belief in only one God
transire|ship's customs warrant for clearing goods
eternalism|the belief that matter has existed eternally
idolomania|obsession or devotion to idols
toran|arched gateway or garland of flowers
carinated|shaped like the prow or keel of a ship
exonym|name for a town or country in a foreign language
manicism|left-handedness
perduellion|treason
pyrophobia|fear of fire
quadratary|relating to a square
chirognomy|divination by studying the hands
swasivious|agreeably persuasive
moulin|shaft in a glacier caused by water running down a crack
ktenology|science of putting people to death
fettling|loose material thrown on furnace hearth for protection
epibole|device of beginning several clauses with same word
vernier|small movable scale for finely adjusting divisions of a measuring instrument
coralligenous|producing coral
toxiphobia|fear of poison or being poisoned
brocade|rich silk fabric with raised patterns
toxicomania|morbid craving for poisons
triticeous|wheat-like
kemb|to comb
versicoloured|diversely or changeably coloured
ephemeron|insect that lives for only one day
secus|otherwise
acerous|lacking horns or antennae
lignite|woody coal
helix|screw-shaped coil
trigamy|state of being married to three spouses
estrapade|horse's attempt to throw its rider
explement|complement
whencesoever|from whatsoever place or source
adoptionism|belief that Christ was the adopted and not natural son of God
pyrheliometer|instrument for measuring heating effect of sun
soteriology|study of theological salvation
chaffer|to bargain or haggle
isogeotherm|line connecting points of equal subterranean temperature
subintelligitur|implication understood though not stated
niccolic|made of, like or pertaining to nickel
zati|Indian macaque with large tuft on the back of the head
sabin|unit of acoustic absorption of one square foot of a perfect absorber
stephane|diadem or coronet worn by soldiers or statues of ancient deities
dicephalous|two-headed
spaniolate|to hispanicize
stibadium|semicircular couch
exstrophy|turning an organ inside out
cryobiology|study of life under cold conditions
introessive|indicating motion into
pyrosophy|knowledge of the properties of fire
monothelious|polyandrous
libaniferous|yielding or bearing incense
exlex|outside the law
ludic|spontaneously and aimlessly playful
anadromous|fish which ascend rivers to spawn
grosgrain|heavy close-woven corded silk
alaudine|of, like or pertaining to skylarks
gannet|large white Atlantic seabird
